Endereco,PrecoApto,PrecoCond,PrecoIPTU,NumQuartos,NumBanheiros,NumVagas,Area,URL
Condomínio Castelo Roma ,Rua Américo Brasiliense - Centro| São Bernardo do Campo - SP,R$ 590.000,R$ 450, ,3,2,2,110,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-110m2-venda-RS590000-id-84358858/
Condomínio L'aqua ,Rua Doná Júlia César Ferreira| 330 - Baeta Neves| São Bernardo do Campo - SP,R$ 550.000,R$ 590,R$ 1.900,3,2,2,91,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-91m2-venda-RS550000-id-89887403/
 ,Rua Cabreúva| 63 - Rudge Ramos| São Bernardo do Campo - SP,R$ 485.000,R$ 750,R$ 1.152,3,2,2,107,https://www.vivareal.com.br/imovel/apartamento-3-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-107m2-venda-RS485000-id-89658434/
Condomínio Castelo Roma ,Rua Américo Brasiliense| 517 - Centro| São Bernardo do Campo - SP,R$ 655.000,R$ 480,R$ 1.800,3,3,2,100,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-100m2-venda-RS655000-id-81604911/
Condomínio Ideale ,Avenida Armando Ítalo Setti| 661 - Baeta Neves| São Bernardo do Campo - SP,R$ 595.000,R$ 600, ,3,4,2,118,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-118m2-venda-RS595000-id-86564361/
 ,Rua dos Feltrins| 125 - Demarchi| São Bernardo do Campo - SP,R$ 238.900,R$ 240,R$ 550,2,1,1,47,https://www.vivareal.com.br/imovel/apartamento-2-quartos-demarchi-bairros-sao-bernardo-do-campo-com-garagem-47m2-venda-RS238900-id-89654711/
Condomínio LUMIERE ,Avenida Senador Vergueiro| 1514 - Jardim Tres Marias 	| São Bernardo do Campo - SP,R$ 370.000,R$ 420, ,3,2,2,71,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-tres-marias-bairros-sao-bernardo-do-campo-com-garagem-71m2-venda-RS370000-id-85067326/
Condomínio SERRA NEGRA ,Rua Planalto| 15 - Rudge Ramos| São Bernardo do Campo - SP,R$ 370.000,R$ 499,R$ 1.040,3,2,1,78,https://www.vivareal.com.br/imovel/apartamento-3-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-78m2-venda-RS370000-id-89210488/
 ,Rua Gino Amadei| 567 - Paulicéia| São Bernardo do Campo - SP,R$ 240.000,R$ 250,R$ 55,2,1,1,65,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pauliceia-bairros-sao-bernardo-do-campo-com-garagem-65m2-venda-RS240000-id-89836980/
Condomínio SAINT JAMES ,Rua Duque d'Abruzzo| 247 - Rudge Ramos| São Bernardo do Campo - SP,R$ 370.000,R$ 425, ,3,2,2,66,https://www.vivareal.com.br/imovel/apartamento-3-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-66m2-venda-RS370000-id-89745680/
Condomínio ANIMA ,Vila Lusitania| São Bernardo do Campo - SP,R$ 560.000,R$ 530,R$ 245,3,3,2,107,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-lusitania-bairros-sao-bernardo-do-campo-com-garagem-107m2-venda-RS560000-id-80363152/
Condomínio ANIMA ,Rua Braga| 202 - Vila Lusitania| São Bernardo do Campo - SP,R$ 620.000,R$ 580, ,3,3,2,107,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-lusitania-bairros-sao-bernardo-do-campo-com-garagem-107m2-venda-RS620000-id-89476980/
 ,Assunção| São Bernardo do Campo - SP,R$ 230.000,R$ 260,R$ 38,2,1,1,55,https://www.vivareal.com.br/imovel/apartamento-2-quartos-assuncao-bairros-sao-bernardo-do-campo-com-garagem-55m2-venda-RS230000-id-89370515/
Condomínio PORTAL DOS PASSAROS ,Rua Vicente de Paula Souza e Silva| 160 - Assunção| São Bernardo do Campo - SP,R$ 250.000,R$ 440,R$ 960,2,1,1,53,https://www.vivareal.com.br/imovel/apartamento-2-quartos-assuncao-bairros-sao-bernardo-do-campo-com-garagem-53m2-venda-RS250000-id-87104684/
 ,Avenida Maria Servidei Demarchi| 2420 - Demarchi| São Bernardo do Campo - SP,R$ 240.000,R$ 280,R$ 70,2,1,1,52,https://www.vivareal.com.br/imovel/apartamento-2-quartos-demarchi-bairros-sao-bernardo-do-campo-com-garagem-52m2-venda-RS240000-id-84069167/
Condomínio HELBOR MOVEMENT CITY E LIFE ,Avenida Armando Ítalo Setti| 659 - Baeta Neves| São Bernardo do Campo - SP,R$ 465.000,R$ 450, ,3,3,2,93,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-93m2-venda-RS465000-id-87650254/
Condomínio ANIMA ,Rua Braga| 202 - Vila Lusitania| São Bernardo do Campo - SP,R$ 550.000,R$ 595, ,3,3,2,107,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-lusitania-bairros-sao-bernardo-do-campo-com-garagem-107m2-venda-RS550000-id-85168621/
Condomínio Helbor Family Garden ,Avenida das Nações Unidas| 1515 - Centro| São Bernardo do Campo - SP,R$ 645.000,R$ 570, ,3,3,2,95,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-95m2-venda-RS645000-id-85625907/
 ,Rua Américo Brasiliense| 10 - Centro| São Bernardo do Campo - SP,R$ 589.000,R$ 600,R$ 1.300,3,4,2,100,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-100m2-venda-RS589000-id-85074167/
 ,Avenida Armando Ítalo Setti| 930 - Baeta Neves| São Bernardo do Campo - SP,R$ 320.000,R$ 350,R$ 180,3,1,2,65,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-65m2-venda-RS320000-id-86405690/
 ,Avenida Pereira Barreto| 1479 - Vila Baeta Neves| São Bernardo do Campo - SP,R$ 485.000,R$ 520,R$ 380,3,2,2,94,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-94m2-venda-RS485000-id-87938463/
 ,Avenida Lauro Gomes| 111 - Rudge Ramos| São Bernardo do Campo - SP,R$ 314.385,R$ 250, ,3,2,2,71,https://www.vivareal.com.br/imovel/apartamento-3-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-71m2-venda-RS314385-id-86829233/
Condomínio Bruxelas ,Rua Gonçalves Dias - Centro| São Bernardo do Campo - SP,R$ 400.000,R$ 665,R$ 800,3,2,2,78,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-78m2-venda-RS400000-id-89738593/
 ,Avenida Doutor Washington Luíz| 522 - Vila Caminho do Mar| São Bernardo do Campo - SP,R$ 435.000,R$ 300,R$ 72,3,2,2,75,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-caminho-do-mar-bairros-sao-bernardo-do-campo-com-garagem-75m2-venda-RS435000-id-85998383/
Condomínio ARCADIA ,Rua Brasílio Machado| 533 - Centro| São Bernardo do Campo - SP,R$ 420.000,R$ 540, ,3,2,2,82,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-82m2-venda-RS420000-id-86539505/
Condomínio Fatto Show São Bernardo ,Rua Ernesta Pelosini| 207 - Nova Petrópolis| São Bernardo do Campo - SP,R$ 465.000,R$ 477,R$ 111,3,2,2,87,https://www.vivareal.com.br/imovel/apartamento-3-quartos-nova-petropolis-bairros-sao-bernardo-do-campo-com-garagem-87m2-venda-RS465000-id-88658629/
Condomínio Vitoria ,Rua dos Vianas| 427 - Baeta Neves| São Bernardo do Campo - SP,R$ 435.000, , ,3,2,2,82,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-82m2-venda-RS435000-id-89883884/
 ,Avenida Dom Jaime de Barros Câmara| 357 - Planalto| São Bernardo do Campo - SP,R$ 251.900,R$ 308,R$ 700,2,2,1,56,https://www.vivareal.com.br/imovel/apartamento-2-quartos-planalto-bairros-sao-bernardo-do-campo-com-garagem-56m2-venda-RS251900-id-86096212/
Condomínio UBERABA ,Jardim Irajá| São Bernardo do Campo - SP,R$ 195.000,R$ 190, ,2,1,1,56,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-iraja-bairros-sao-bernardo-do-campo-com-garagem-56m2-venda-RS195000-id-89370517/
 ,Avenida Moinho Fabrini - Independência| São Bernardo do Campo - SP,R$ 519.900,R$ 532,R$ 135,2,2,1,81,https://www.vivareal.com.br/imovel/apartamento-2-quartos-independencia-bairros-sao-bernardo-do-campo-com-garagem-81m2-venda-RS519900-id-86768734/
Condomínio SAN MARCO ,Avenida Moinho Fabrini| 592 - Independência| São Bernardo do Campo - SP,R$ 240.000,R$ 250,R$ 150,2,2,1,60,https://www.vivareal.com.br/imovel/apartamento-2-quartos-independencia-bairros-sao-bernardo-do-campo-com-garagem-60m2-venda-RS240000-id-88444046/
